title,price,rating,location,url,scraped_date
Wohnung in St. Gallen,Price not available,No rating,St. Gallen zentral und gemütlich,https://www.airbnb.ch/rooms/25726270?search_mode=regular_search&adults=1&check_in=2025-04-01&check_out=2025-04-06&children=0&infants=0&pets=0&source_impression_id=p3_1742657496_P3OJOEcuPK0bQWJp&previous_page_section_name=1000&federated_search_id=06e1c76d-974b-4907-a5fd-f52db839575b,2025-03-22 16:31:43
Wohnung in St. Gallen,Price not available,No rating,TouchBed | Budget-Studio,https://www.airbnb.ch/rooms/22469139?search_mode=regular_search&adults=1&check_in=2025-04-01&check_out=2025-04-06&children=0&infants=0&pets=0&source_impression_id=p3_1742657497_P3LuiXUztX1nGFn3&previous_page_section_name=1000&federated_search_id=06e1c76d-974b-4907-a5fd-f52db839575b,2025-03-22 16:31:43
Zimmer in St. Gallen,Price not available,No rating,"Aufenthalt bei Susanne
Aufenthalt bei Susanne
7 Jahre Gastgeber:in
,
 · 7 Jahre Gastgeber:in",https://www.airbnb.ch/rooms/42784108?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-04-07&check_out=2025-04-12&children=0&infants=0&pets=0&photo_id=982754303&source_impression_id=p3_1742657497_P3Jeh-Snytd8futH&previous_page_section_name=1000&federated_search_id=06e1c76d-974b-4907-a5fd-f52db839575b,2025-03-22 16:31:43
Wohnung in St. Gallen,Price not available,No rating,Gemütliche Wohnung,https://www.airbnb.ch/rooms/1258654575298959105?search_mode=regular_search&adults=1&check_in=2025-04-01&check_out=2025-04-06&children=0&infants=0&pets=0&source_impression_id=p3_1742657497_P3dWId5pwQ1IuVe8&previous_page_section_name=1000&federated_search_id=06e1c76d-974b-4907-a5fd-f52db839575b,2025-03-22 16:31:43
Wohnung in St. Gallen,Price not available,No rating,"St.Gallen zentral, ruhig, bei Badeweihern und Wald",https://www.airbnb.ch/rooms/41971258?search_mode=regular_search&adults=1&check_in=2025-04-02&check_out=2025-04-07&children=0&infants=0&pets=0&source_impression_id=p3_1742657497_P3j4dBOJP-QbYqIh&previous_page_section_name=1000&federated_search_id=06e1c76d-974b-4907-a5fd-f52db839575b,2025-03-22 16:31:43
Wohnung in St. Gallen,Price not available,No rating,Charmante Altbauwohnung ruhig und doch zentral,https://www.airbnb.ch/rooms/1002032650200924193?search_mode=regular_search&adults=1&check_in=2025-04-01&check_out=2025-04-06&children=0&infants=0&pets=0&source_impression_id=p3_1742657497_P3b5Ez9Ap534ICvn&previous_page_section_name=1000&federated_search_id=06e1c76d-974b-4907-a5fd-f52db839575b,2025-03-22 16:31:43
Wohnung in St. Gallen,Price not available,No rating,Gemütliches Studio im Hotelstyle,https://www.airbnb.ch/rooms/1271492765511551149?search_mode=regular_search&adults=1&check_in=2025-04-01&check_out=2025-04-06&children=0&infants=0&pets=0&source_impression_id=p3_1742657497_P3pTJHmEs6gnuoj2&previous_page_section_name=1000&federated_search_id=06e1c76d-974b-4907-a5fd-f52db839575b,2025-03-22 16:31:44
Zimmer in St. Gallen,Price not available,No rating,"Aufenthalt bei Erola
Aufenthalt bei Erola
9 Jahre Gastgeber:in
,
 · 9 Jahre Gastgeber:in",https://www.airbnb.ch/rooms/886956306594218127?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-04-01&check_out=2025-04-06&children=0&infants=0&pets=0&photo_id=1646729598&source_impression_id=p3_1742657497_P30nYtei2safEwk5&previous_page_section_name=1000&federated_search_id=06e1c76d-974b-4907-a5fd-f52db839575b,2025-03-22 16:31:44
Unterkunft in St. Gallen,Price not available,No rating,"YELLOW INN 7 nähe Uni, Olma, Spital, FHS",https://www.airbnb.ch/rooms/31036410?search_mode=regular_search&adults=1&check_in=2025-04-02&check_out=2025-04-07&children=0&infants=0&pets=0&source_impression_id=p3_1742657497_P3um6FdwAsxAGPXM&previous_page_section_name=1000&federated_search_id=06e1c76d-974b-4907-a5fd-f52db839575b,2025-03-22 16:31:44
Unterkunft in St. Gallen,Price not available,No rating,TouchBed | Budget Doppelzimmer,https://www.airbnb.ch/rooms/22112589?search_mode=regular_search&adults=1&check_in=2025-04-01&check_out=2025-04-06&children=0&infants=0&pets=0&source_impression_id=p3_1742657497_P3xGv7VO9mkag94o&previous_page_section_name=1000&federated_search_id=06e1c76d-974b-4907-a5fd-f52db839575b,2025-03-22 16:31:44
Zimmer in Sankt Gallen,Price not available,No rating,"Aufenthalt bei Felix
Aufenthalt bei Felix
8 Jahre Gastgeber:in
,
 · 8 Jahre Gastgeber:in",https://www.airbnb.ch/rooms/20937274?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-04-04&check_out=2025-04-09&children=0&infants=0&pets=0&photo_id=372810159&source_impression_id=p3_1742657497_P3HZG7jTtRA5iGb4&previous_page_section_name=1000&federated_search_id=06e1c76d-974b-4907-a5fd-f52db839575b,2025-03-22 16:31:44
Wohnung in St. Gallen,Price not available,No rating,1 Zimmerwohnung ohne Küche mitten im Zentrum,https://www.airbnb.ch/rooms/1115968720346511055?search_mode=regular_search&adults=1&check_in=2025-04-11&check_out=2025-04-16&children=0&infants=0&pets=0&source_impression_id=p3_1742657497_P3yd93q-fIxk_zEf&previous_page_section_name=1000&federated_search_id=06e1c76d-974b-4907-a5fd-f52db839575b,2025-03-22 16:31:44
